"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"4";"";"C-EUC0603";"C0603";"C2, C3, C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"2";"";"KK-156-4";"KK-156-4";"X1, X2";"KK 156 HEADER";"";"";"";"";"";"";"MOLEX";"";"";"";"unknown";"unknown";"0";"";
"1";"12V to 3V3";"LF33ABDT-TR";"TO228P972X240-3N";"IC1";"LF33ABDT-TR, Low Dropout Voltage Regulator, 0.5A, 3.3 V +/-1%, 3-Pin DPAK";"LF33ABDT-TR";"https://www.arrow.com/en/products/lf33abdt-tr/stmicroelectronics?region=nac";"LF33ABDT-TR, Low Dropout Voltage Regulator, 0.5A, 3.3 V +/-1%, 3-Pin DPAK";"2.4mm";"STMicroelectronics";"LF33ABDT-TR";"";"511-LF33ABDT-TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LF33ABDT-TR?qs=X0YN45AWjTaYMp6aKKXn6w%3D%3D";"";"";"";"";"";
"1";"12V to 5V";"L4941BDT-TR";"TO228P972X240-3N";"IC2";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"L4941BDT-TR";"https://www.arrow.com/en/products/l4941bdt-tr/stmicroelectronics?region=nac";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"2.4mm";"STMicroelectronics";"L4941BDT-TR";"";"511-L4941BDT-TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/L4941BDT-TR?qs=tPFdqECvbMIySYN92F2N4Q%3D%3D";"";"";"";"";"";
"2";"CDSOD323-T15SC";"CDSOD323-T15SC";"SOD-323";"D1, D2";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"CDSOD323-T15SC";"https://www.arrow.com/en/products/cdsod323-t15sc/bourns?region=nac";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"mm";"Bourns";"CDSOD323-T15SC";"";"652-CDSOD323-T15SC";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T15SC?qs=6S5Watp5UnLvz%2FtnS7XuhA%3D%3D";"";"";"";"";"";
"4";"ECA1VM100";"ECA1VM100";"CAPPRD200W55D525H1200";"C1, C4, C5, C8";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"";"";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"12mm";"Panasonic";"ECA1VM100";"";"";"";"";"";"";"";"";
"1";"SSW-106-02-G-S";"SSW-106-02-G-S";"SSW-106-02-G-S";"X3";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"Samtec Inc.";"";"";"SSW-106-02-G-S";"unknown";"11P9416";"";"";
