"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"44";"";"C-EUC0603";"C0603";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C44, C45, C47, C48";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"40";"";"R-US_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"2";"22-23-2021";"22-23-2021";"22-23-2021";"12V-GND, CAN";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";"40";"";
"1";"CDSOD323-T15SC";"CDSOD323-T15SC";"SOD-323";"D1";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"CDSOD323-T15SC";"https://www.arrow.com/en/products/cdsod323-t15sc/bourns?region=nac";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"mm";"Bourns";"CDSOD323-T15SC";"";"652-CDSOD323-T15SC";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T15SC?qs=6S5Watp5UnLvz%2FtnS7XuhA%3D%3D";"";"";"";"";"";
"4";"ECA1VM100";"ECA1VM100";"CAPPRD200W55D525H1200";"C41, C42, C43, C46";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"";"";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"12mm";"Panasonic";"ECA1VM100";"";"";"";"";"";"";"";"";
"1";"LF33ABDT-TR";"LF33ABDT-TR";"TO228P972X240-3N";"IC1";"LF33ABDT-TR, Low Dropout Voltage Regulator, 0.5A, 3.3 V +/-1%, 3-Pin DPAK";"LF33ABDT-TR";"https://www.arrow.com/en/products/lf33abdt-tr/stmicroelectronics?region=nac";"LF33ABDT-TR, Low Dropout Voltage Regulator, 0.5A, 3.3 V +/-1%, 3-Pin DPAK";"2.4mm";"STMicroelectronics";"LF33ABDT-TR";"";"511-LF33ABDT-TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LF33ABDT-TR?qs=X0YN45AWjTaYMp6aKKXn6w%3D%3D";"";"";"";"";"";
"2";"SSW-106-02-G-S";"SSW-106-02-G-S";"SSW-106-02-G-S";"X7, X8";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"Samtec Inc.";"";"";"SSW-106-02-G-S";"unknown";"11P9416";"";"";
"2";"SSW-120-02-G-D";"SSW-120-02-G-D";"SSW-120-02-G-D";"NTC1, NTC2";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"Samtec Inc.";"";"";"SSW-120-02-G-D";"unknown";"11P9639";"";"";
"4";"SSW-124-02-G-S";"SSW-124-02-G-S";"SSW-124-02-G-S";"X1, X2, X3, X4";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"Samtec Inc.";"";"";"SSW-124-02-G-S";"unknown";"11P9709";"";"";
