"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"2";"";"1,6/0,8";"1,6/0,8";"PAD2, PAD4";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";
"1";"1,8nF, 50V";"C-EUC0805";"C0805";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";
"9";"100kΩ";"R-US_R0603";"R0603";"R11, R12, R13, R14, R15, R16, R17, R18, R19";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"100nF, 50V";"C0805C104K5RACTU";"CAPC2012X88N";"C8";"0805 X7R ceramic capacitor,100nF 50V Kemet 0805 0.1";"C0805C104K5RACTU";"https://www.arrow.com/en/products/c0805c104k5ractu/kemet-corporation?region=nac";"0805 X7R ceramic capacitor,100nF 50V Kemet 0805 0.1";"0.88mm";"Kemet";"C0805C104K5RACTU";"";"80-C0805C104K5R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104K5RACTU?qs=Pc30aiB8zWUISNb2Qeyxfw%3D%3D";"";"";"";"";"";
"1";"100Ω";"R-US_R0603";"R0603";"R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"100Ω, 2W";"1,6/0,8";"1,6/0,8";"R9";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";
"10";"10kΩ";"R-US_R0603";"R0603";"R21, R22, R23, R24, R25, R26, R27, R28, R29, R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"10μF, 25V";"ECA1VM100";"CAPPRD200W55D525H1200";"C6";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"";"";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"12mm";"Panasonic";"ECA1VM100";"";"";"";"";"";"";"";"";
"1";"10μF, 35V";"ECA1VM100";"CAPPRD200W55D525H1200";"C9";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"";"";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"12mm";"Panasonic";"ECA1VM100";"";"";"";"";"";"";"";"";
"2";"10μF, 450V";"7112129";"CAPPRD500W60D1300H2250";"C3, C4";"RS Pro 10uF 450 V dc Aluminium Electrolytic Capacitor 2000h 13 Dia. x 21mm";"";"";"RS Pro 10uF 450 V dc Aluminium Electrolytic Capacitor 2000h 13 Dia. x 21mm";"22.5mm";"RS Components";"7112129";"";"";"";"";"";"";"";"";
"2";"150nF, 450V";"C1808W154KCRACTU";"CAPC4720X175N";"C1, C2";"Kemet 1808 Arcshield HV Flex Termination 150nF Ceramic Multilayer Capacitor, 500 V dc, +125C, X7R Dielectric, +/-10%";"C1808W154KCRACTU";"https://www.arrow.com/en/products/c1808w154kcractu/kemet-corporation";"Kemet 1808 Arcshield HV Flex Termination 150nF Ceramic Multilayer Capacitor, 500 V dc, +125C, X7R Dielectric, +/-10%";"1.75mm";"Kemet";"C1808W154KCRACTU";"";"80-C1808W154KCR";"https://www.mouser.co.uk/ProductDetail/KEMET/C1808W154KCRACTU?qs=Wo0SukjKc%2F90TgI1IO5RiQ%3D%3D";"";"";"";"";"";
"2";"1N4148_SOD-123_";"1N4148_SOD-123_";"SOD3716X135N";"D1, D3";"Small Signal Fast Switching Diode";"";"";"Small Signal Fast Switching Diode";"1.35mm";"Vishay";"1N4148(SOD-123)";"";"";"";"";"";"";"";"";
"1";"1kΩ";"R-US_M2012";"M2012";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"1mH, 300mA";"RLB0914-102KL";"RLB0914";"L2";"Inductor THT 1mH Bourns 1000 uH +/-10% Ferrite Leaded Inductor, Max SRF:1.3MHz, Q:40, 300mA Idc, 2.1 Rdc RLB";"RLB0914-102KL";"https://www.arrow.com/en/products/rlb0914-102kl/bourns";"Inductor THT 1mH Bourns 1000 uH +/-10% Ferrite Leaded Inductor, Max SRF:1.3MHz, Q:40, 300mA Idc, 2.1 Rdc RLB";"mm";"Bourns";"RLB0914-102KL";"";"652-RLB0914-102KL";"https://www.mouser.co.uk/ProductDetail/Bourns/RLB0914-102KL?qs=SUrgTEU5cSoXW47y1y0lkw%3D%3D";"";"";"";"";"";
"2";"2,2mH, 250mA";"1,6/0,8";"1,6/0,8";"L1, L3";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";
"2";"22-23-2021";"22-23-2021";"22-23-2021";"HV+, HV-";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";"40";"";
"1";"22-27-2021";"22-27-2021";"SHDR2W64P0X254_1X2_508X580X117";"J2";"Molex KK 254 6410, 2 Way, 1 Row, Straight PCB Header";"";"";"Molex KK 254 6410, 2 Way, 1 Row, Straight PCB Header";"11.7mm";"Molex";"22-27-2021";"";"538-22-27-2021";"https://www.mouser.co.uk/ProductDetail/Molex/22-27-2021?qs=hSmm4fxMIuPWb6osY0uomA%3D%3D";"";"";"";"";"";
"1";"220μF, 25V";"7112129";"CAPPRD500W60D1300H2250";"C5";"RS Pro 10uF 450 V dc Aluminium Electrolytic Capacitor 2000h 13 Dia. x 21mm";"";"";"RS Pro 10uF 450 V dc Aluminium Electrolytic Capacitor 2000h 13 Dia. x 21mm";"22.5mm";"RS Components";"7112129";"";"";"";"";"";"";"";"";
"1";"22Ω, 2W";"1,6/0,8";"1,6/0,8";"R1";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";
"1";"24kΩ";"R-US_M2012";"M2012";"R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"7,5kΩ";"R-US_R0603";"R0603";"R20";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"4";"750kΩ";"R-US_M3216";"M3216";"R2, R3, R4, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"9,1kΩ";"R-US_M2012";"M2012";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"SOT-23";"DMN2041L-7";"SOT96P240X110-3N";"NMOS";"Diodes Inc DMN2041L-7 N-channel MOSFET Transistor, 6.4 A, 20 V, 3-Pin SOT-23";"DMN2041L-7";"https://www.arrow.com/en/products/dmn2041l-7/diodes-incorporated?region=nac";"Diodes Inc DMN2041L-7 N-channel MOSFET Transistor, 6.4 A, 20 V, 3-Pin SOT-23";"1.1mm";"Diodes Inc.";"DMN2041L-7";"";"621-DMN2041L-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2041L-7?qs=tiksPeNXt0LSbn3jTreVOg%3D%3D";"";"";"";"";"";
"1";"SOT-23";"TS391IYLT";"SOT95P280X145-5N";"COMPARATEUR";"STMicroelectronics TS391IYLT Comparator, CMOS, DTL, ECL, TTL O/P, 1.3 ns/us, 300 ns/us +/-2  +/-36 V 5-Pin SOT-23";"TS391IYLT";"https://www.arrow.com/en/products/ts391iylt/stmicroelectronics";"STMicroelectronics TS391IYLT Comparator, CMOS, DTL, ECL, TTL O/P, 1.3 ns/us, 300 ns/us +/-2  +/-36 V 5-Pin SOT-23";"1.45mm";"STMicroelectronics";"TS391IYLT";"";"511-TS391IYLT";"https://www.mouser.com/Search/Refine.aspx?Keyword=511-TS391IYLT";"";"";"";"";"";
"1";"SOT-89";"LDK320ADU120R";"ST-SOT-89";"CONVERTER_12VDC-5VDC";"STMICROELECTRONICS - LDK320ADU120R - LDO, FIXED, 12V, 0.2A, SOT-89-3";"LDK320ADU120R";"https://www.arrow.com/en/products/ldk320adu120r/stmicroelectronics?region=nac";"STMICROELECTRONICS - LDK320ADU120R - LDO, FIXED, 12V, 0.2A, SOT-89-3";"mm";"STMicroelectronics";"LDK320ADU120R";"";"511-LDK320ADU120R";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LDK320ADU120R?qs=1mbolxNpo8dj6BDqSWT9hQ%3D%3D";"";"";"";"";"";
"2";"STTH108A";"STTH108A";"DIOM5126X265N";"D2, D4";"STTH108A, Fast Rectifier Diode,  Switching 1A max, 800V 75ns, 2-Pin, SMA";"STTH108A";"https://www.arrow.com/en/products/stth108a/stmicroelectronics";"STTH108A, Fast Rectifier Diode,  Switching 1A max, 800V 75ns, 2-Pin, SMA";"2.65mm";"STMicroelectronics";"STTH108A";"";"511-STTH108A";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STTH108A?qs=JquAdH79uraWtge35p8qAg%3D%3D";"";"";"";"";"";
"1";"VIPER16HD";"VIPER16HD";"SOIC127P600X175-16N";"CONVERTER";"VIPER16HD, Switching Regulator,, 16-Pin SO N";"VIPER16HD";"https://www.arrow.com/en/products/viper16hd/stmicroelectronics";"VIPER16HD, Switching Regulator,, 16-Pin SO N";"1.75mm";"STMicroelectronics";"VIPER16HD";"";"511-VIPER16HD";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/VIPER16HD?qs=5HwTSiuA5HCtj0M7xVuuNA%3D%3D";"";"";"";"";"";
